,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
34,False,/mkAIX4Jzax9mNWMafZfUjNmanbA.jpg,"[878, 53, 9648]",986088,en,Control,A young mother awakens in a mysterious cell and is forced to harness her telekinetic abilities in order to escape and save her daughter.,48.387,/oxi29Eg7JymhqV5QkSrMviUb3e9.jpg,2022-09-23,Control,False,5.4,22
35,False,/oncxGpXbkM4MK5f7wzYZNDLd1uU.jpg,"[14, 12, 35]",830896,en,The Portable Door,"Paul and Sophie, interns at a mysterious London firm, become steadily aware their employers Humphrey and Dennis are anything but conventional - they are disrupting the world of magic by bringing modern corporate strategy to ancient magical practices.",38.436,/15XCSwlniUZQOW7vD6tPM5e30wr.jpg,2023-03-23,The Portable Door,False,6.7,56
36,False,/12vXoZKGk1Ds7zeCLl5RpzYi3Q9.jpg,"[16, 28, 12, 18, 9648]",843267,ja,プリンセス・プリンシパル Crown Handler 第2章,The second out of six movie sequels to the TV series.,42.781,/8FGKOQNsKmIUAeT7McRfoLvwGVc.jpg,2021-09-23,Princess Principal Crown Handler: Chapter 2,False,7.3,3
37,False,/ks3WTeuEaenmMiizxXba65Rxpu1.jpg,"[53, 80, 18]",823951,fr,Novembre,"In November 2015, a series of unprecedented and deadly attacks hits Paris. The anti-terrorist police led by Heloise and her chief commander Fred - face an unprecedented level of pressure: in a race against the clock, they must find the perpetrators of the attacks as quickly as possible before they can strike again, travelling across Europe and beyond in one of the biggest manhunts in history.",36.665,/A5wae5M81jLTuv3WbCJfORxapRA.jpg,2022-10-05,November,False,7.3,444
38,False,/9Cx8VQDNhqEUd357cddoqZz3M3Q.jpg,[18],915931,fr,Revoir Paris,"Three months after surviving a terrorist attack in a bistro, Mia is still traumatized and unable to recall the events of that night. In an effort to move forward, she investigates her memories and retraces her steps.",37.935,/zaNVTXH3woUs1LGUEeMMntDs3oM.jpg,2022-09-07,Revoir Paris,False,7.2,176
39,False,/6TUgbrbTaA3vrAFQIzX3zGy6pl9.jpg,"[27, 878, 53]",667216,en,Infinity Pool,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror.",39.438,/5DNRr2juXdwtvktwXxwuk9Usk8O.jpg,2023-01-27,Infinity Pool,False,6.4,221
40,False,/hhICjHximfBciqxX09d91GgghV8.jpg,[18],965150,en,Aftersun,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,36.269,/jeXmhP2zbUkREMRqFOYIwQOk49T.jpg,2022-10-21,Aftersun,False,7.8,631
41,False,/kCEXA22ASuq7Y29jnngyaisyA0X.jpg,"[878, 9648, 12]",62,en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",44.657,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,1968-04-02,2001: A Space Odyssey,False,8.1,10153
42,False,/8kZu1HNYRI0133Rb1CoQkLoQRy6.jpg,"[27, 53]",890771,en,The Black Demon,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",40.106,/fNYqjsM0nXCnl7QLyBpecdqoFOp.jpg,2023-04-26,The Black Demon,False,7.3,3
43,False,/5CrqsVDEukfvTUxmPWe1I32PS9K.jpg,"[53, 9648, 18]",850028,en,"Alice, Darling",A young woman trapped in an abusive relationship becomes an unwitting participant in an intervention staged by her two closest friends.,33.607,/ybqS7I4tuMs1TIssvuLMk2lYlLe.jpg,2022-12-30,"Alice, Darling",False,5.9,69
44,False,/aeksAhU6dZl0Fclm3dBRt6cKBmD.jpg,[35],942922,en,80 for Brady,A quartet of elderly best friends decide to live life to the fullest by taking a wild trip to the Super Bowl LI to see their hero Tom Brady play.,31.825,/jixBLmH4gQuTKTenZr89egvqZbW.jpg,2023-02-03,80 for Brady,False,6.9,54
45,False,/tbQ7bEg5qnk7zR1bsi4xMqnaIRu.jpg,"[80, 9648, 53]",536437,en,Hypnotic,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,33.854,/mv362kHXz4Yr33wtQhqfcJWFM8G.jpg,2023-05-11,Hypnotic,False,0.0,0
46,False,/v39H1nUYxQmSphz83VoV4HYjuHt.jpg,"[18, 35]",636173,ko,드림,A top football player Hong-dae gets involved in an assault case and winds up being appointed as the coach for the national football team. This team will compete in the ‘Homeless World Cup’. A documentary producer So-min films their story while Hong-dae struggles to coach the homeless because of his misconceptions about them.,33.433,/9RIY2JW0JLQl2MOXdkeFAVqP57T.jpg,2023-04-26,Dream,False,0.0,0
47,False,/pDihgK7EGrSHZ4E5Wa8GkPaibXA.jpg,"[28, 80, 53, 9648]",605886,en,To Catch a Killer,Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,32.789,/xhZT55UMELO6AN5vSbNwVXDmkxy.jpg,2023-04-06,To Catch a Killer,False,5.7,3
48,False,/5pUJhaYpDdmOiyMvCh3G1R6G1wi.jpg,"[53, 18]",788977,ar,Walad min al-Janna,"A fisherman's son is offered the ultimate privilege to study at the Al-Azhar University in Cairo, the epicenter of power of Sunni Islam. Shortly after his arrival, the university’s highest ranking religious leader, the Grand Imam, dies and the young student ecomes a pawn in a ruthless power struggle between Egypt's religious and political elite.",32.53,/zDRAA4UJWgQnSFxhJuefnwO74v5.jpg,2022-10-26,Cairo Conspiracy,False,6.9,109
